,0
0,21
1,25
2,28
3,28
4,28
5,27
6,29
7,22
8,21
9,20
10,20
11,33
12,25
13,27
14,25
15,27
16,21
17,18
18,20
19,23
20,26
21,26
22,27
23,29
24,29
25,27
26,28
27,26
28,28
29,28
30,28
31,29
32,23
33,22
34,23
35,21
36,25
37,29
38,24
39,26
40,24
41,27
42,26
43,25
44,29
45,28
46,28
47,24
48,20
49,23
50,23
51,24
52,23
53,22
54,21
55,22
56,27
57,24
58,26
59,25
60,28
61,28
62,28
63,28
64,29
65,32
66,35
67,27
68,21
69,24
70,27
71,24
72,18
73,19
74,22
75,21
76,22
77,22
78,20
79,23
80,24
81,27
82,23
83,23
84,24
85,23
86,23
87,27
88,23
89,25
90,26
91,25
92,27
93,28
94,28
95,28
96,28
97,31
98,30
99,30
100,23
101,29
102,25
103,29
104,29
105,20
106,19
107,20
108,21
109,24
110,21
111,24
112,23
113,21
114,21
115,25
116,23
117,23
118,25
119,26
120,30
121,26
122,23
123,29
124,32
125,21
126,23
127,23
128,19
129,22
130,22
131,23
132,25
133,23
134,24
135,23
136,24
137,23
138,23
139,25
140,24
141,25
142,25
143,23
144,27
145,24
146,24
147,27
148,29
149,24
150,25
151,28
152,30
153,28
154,28
155,30
156,29
157,30
158,30
159,24
160,23
161,21
162,22
163,24
164,25
165,26
166,24
167,20
168,24
169,24
170,23
171,25
172,27
173,24
174,26
175,26
176,26
177,27
178,26
179,26
180,29
181,29
182,30
183,31
184,30
185,22
186,23
187,25
188,22
189,21
190,21
191,20
192,21
193,24
194,23
195,24
196,23
197,27
198,27
199,25
200,27
201,27
202,28
203,29
204,27
205,29
206,28
207,29
208,32
209,21
210,18
211,21
212,20
213,18
214,20
215,20
216,19
217,23
218,24
219,23
220,24
221,22
222,23
223,26
224,26
225,28
226,26
227,23
228,25
229,24
230,26
231,28
232,26
233,29
234,27
235,26
236,27
237,27
238,31
239,23
240,23
241,22
242,23
243,22
244,21
245,23
246,23
247,23
248,23
249,24
250,24
251,25
252,25
253,25
254,28
255,25
256,27
257,26
258,28
259,27
260,28
261,28
262,30
263,17
264,22
265,22
266,26
267,27
268,26
269,29
270,26
271,26
272,26
273,24
274,26
275,19
276,18
277,17
278,21
279,18
280,21
281,19
282,20
283,21
284,20
285,20
286,20
287,22
288,22
289,21
290,24
291,23
292,23
293,25
294,25
295,23
296,23
297,24
298,23
299,24
300,25
301,28
302,23
303,25
304,26
305,26
306,25
307,27
308,29
309,26
310,31
311,27
312,27
313,27
314,27
315,29
316,27
317,28
318,28
319,28
320,31
321,31
322,32
323,21
324,17
325,23
326,24
327,25
328,27
329,27
330,24
331,24
332,26
333,26
334,27
335,29
336,31
337,29
338,27
339,23
340,23
341,24
342,23
343,24
344,28
345,29
346,18
347,19
348,19
349,21
350,23
351,26
352,28
353,20
354,20
355,23
356,22
357,23
358,24
359,21
360,22
361,25
362,22
363,25
364,24
365,24
366,25
367,26
368,27
369,27
370,26
371,29
372,30
373,26
374,29
375,25
376,26
377,27
378,19
379,19
380,22
381,25
382,21
383,18
384,22
385,19
386,23
387,28
388,24
389,20
390,24
391,22
392,20
393,23
394,25
395,23
396,21
397,23
398,24
399,22
400,21
401,21
402,22
403,24
404,25
405,26
406,24
407,22
408,25
409,29
410,25
411,24
412,26
413,23
414,23
415,23
416,25
417,23
418,27
419,27
420,25
421,24
422,26
423,24
424,25
425,25
426,23
427,24
428,25
429,28
430,25
431,25
432,26
433,25
434,28
435,26
436,28
437,27
438,29
439,29
440,31
441,28
442,30
443,28
444,30
445,29
446,29
447,31
448,31
449,31
450,31
451,31
452,32
453,26
454,30
455,23
456,23
457,26
458,29
459,30
460,32
461,32
462,20
463,19
464,21
465,20
466,18
467,22
468,22
469,19
470,23
471,21
472,22
473,22
474,21
475,24
476,21
477,24
478,22
479,25
480,22
481,26
482,21
483,22
484,24
485,23
486,22
487,25
488,23
489,26
490,25
491,25
492,25
493,26
494,26
495,26
496,27
497,29
498,27
499,29
