,0
0,¢æ180.00m
1,¢æ128.00m
2,¢æ128.00m
3,¢æ120.00m
4,¢æ120.00m
5,¢æ120.00m
6,¢æ120.00m
7,¢æ110.00m
8,¢æ100.00m
9,¢æ100.00m
10,¢æ100.00m
11,¢æ100.00m
12,¢æ90.00m
13,¢æ90.00m
14,¢æ85.00m
15,¢æ85.00m
16,¢æ81.00m
17,¢æ80.00m
18,¢æ80.00m
19,¢æ80.00m
20,¢æ80.00m
21,¢æ80.00m
22,¢æ80.00m
23,¢æ80.00m
24,¢æ80.00m
25,¢æ80.00m
26,¢æ80.00m
27,¢æ75.00m
28,¢æ75.00m
29,¢æ75.00m
30,¢æ75.00m
31,¢æ72.00m
32,¢æ70.00m
33,¢æ70.00m
34,¢æ70.00m
35,¢æ70.00m
36,¢æ70.00m
37,¢æ70.00m
38,¢æ70.00m
39,¢æ70.00m
40,¢æ70.00m
41,¢æ70.00m
42,¢æ70.00m
43,¢æ65.00m
44,¢æ65.00m
45,¢æ65.00m
46,¢æ65.00m
47,¢æ64.00m
48,¢æ60.00m
49,¢æ60.00m
50,¢æ60.00m
51,¢æ60.00m
52,¢æ60.00m
53,¢æ60.00m
54,¢æ60.00m
55,¢æ60.00m
56,¢æ60.00m
57,¢æ60.00m
58,¢æ60.00m
59,¢æ60.00m
60,¢æ60.00m
61,¢æ60.00m
62,¢æ60.00m
63,¢æ60.00m
64,¢æ60.00m
65,¢æ60.00m
66,¢æ60.00m
67,¢æ56.00m
68,¢æ55.00m
69,¢æ55.00m
70,¢æ55.00m
71,¢æ52.00m
72,¢æ50.00m
73,¢æ50.00m
74,¢æ50.00m
75,¢æ50.00m
76,¢æ50.00m
77,¢æ50.00m
78,¢æ50.00m
79,¢æ50.00m
80,¢æ50.00m
81,¢æ50.00m
82,¢æ50.00m
83,¢æ50.00m
84,¢æ50.00m
85,¢æ50.00m
86,¢æ50.00m
87,¢æ50.00m
88,¢æ50.00m
89,¢æ50.00m
90,¢æ50.00m
91,¢æ50.00m
92,¢æ50.00m
93,¢æ50.00m
94,¢æ50.00m
95,¢æ50.00m
96,¢æ50.00m
97,¢æ50.00m
98,¢æ50.00m
99,¢æ50.00m
100,¢æ48.00m
101,¢æ48.00m
102,¢æ48.00m
103,¢æ48.00m
104,¢æ48.00m
105,¢æ45.00m
106,¢æ45.00m
107,¢æ45.00m
108,¢æ45.00m
109,¢æ45.00m
110,¢æ45.00m
111,¢æ45.00m
112,¢æ45.00m
113,¢æ45.00m
114,¢æ45.00m
115,¢æ45.00m
116,¢æ45.00m
117,¢æ45.00m
118,¢æ45.00m
119,¢æ45.00m
120,¢æ45.00m
121,¢æ45.00m
122,¢æ44.00m
123,¢æ42.00m
124,¢æ42.00m
125,¢æ40.50m
126,¢æ40.00m
127,¢æ40.00m
128,¢æ40.00m
129,¢æ40.00m
130,¢æ40.00m
131,¢æ40.00m
132,¢æ40.00m
133,¢æ40.00m
134,¢æ40.00m
135,¢æ40.00m
136,¢æ40.00m
137,¢æ40.00m
138,¢æ40.00m
139,¢æ40.00m
140,¢æ40.00m
141,¢æ40.00m
142,¢æ40.00m
143,¢æ40.00m
144,¢æ40.00m
145,¢æ40.00m
146,¢æ40.00m
147,¢æ40.00m
148,¢æ40.00m
149,¢æ40.00m
150,¢æ40.00m
151,¢æ40.00m
152,¢æ40.00m
153,¢æ40.00m
154,¢æ40.00m
155,¢æ40.00m
156,¢æ40.00m
157,¢æ40.00m
158,¢æ40.00m
159,¢æ38.00m
160,¢æ36.00m
161,¢æ36.00m
162,¢æ36.00m
163,¢æ36.00m
164,¢æ36.00m
165,¢æ36.00m
166,¢æ35.00m
167,¢æ35.00m
168,¢æ35.00m
169,¢æ35.00m
170,¢æ35.00m
171,¢æ35.00m
172,¢æ35.00m
173,¢æ35.00m
174,¢æ35.00m
175,¢æ35.00m
176,¢æ35.00m
177,¢æ35.00m
178,¢æ35.00m
179,¢æ35.00m
180,¢æ35.00m
181,¢æ35.00m
182,¢æ35.00m
183,¢æ35.00m
184,¢æ35.00m
185,¢æ33.00m
186,¢æ33.00m
187,¢æ33.00m
188,¢æ33.00m
189,¢æ32.00m
190,¢æ32.00m
191,¢æ32.00m
192,¢æ32.00m
193,¢æ32.00m
194,¢æ32.00m
195,¢æ32.00m
196,¢æ32.00m
197,¢æ32.00m
198,¢æ32.00m
199,¢æ32.00m
200,¢æ32.00m
201,¢æ32.00m
202,¢æ32.00m
203,¢æ32.00m
204,¢æ32.00m
205,¢æ32.00m
206,¢æ32.00m
207,¢æ32.00m
208,¢æ32.00m
209,¢æ31.50m
210,¢æ30.00m
211,¢æ30.00m
212,¢æ30.00m
213,¢æ30.00m
214,¢æ30.00m
215,¢æ30.00m
216,¢æ30.00m
217,¢æ30.00m
218,¢æ30.00m
219,¢æ30.00m
220,¢æ30.00m
221,¢æ30.00m
222,¢æ30.00m
223,¢æ30.00m
224,¢æ30.00m
225,¢æ30.00m
226,¢æ30.00m
227,¢æ30.00m
228,¢æ30.00m
229,¢æ30.00m
230,¢æ30.00m
231,¢æ30.00m
232,¢æ30.00m
233,¢æ30.00m
234,¢æ30.00m
235,¢æ30.00m
236,¢æ30.00m
237,¢æ30.00m
238,¢æ30.00m
239,¢æ29.50m
240,¢æ28.00m
241,¢æ28.00m
242,¢æ28.00m
243,¢æ28.00m
244,¢æ28.00m
245,¢æ28.00m
246,¢æ28.00m
