,0
0,Kylian Mbappe
1,Raheem Sterling
2,Neymar
3,Sadio Mane
4,Mohamed Salah
5,Harry Kane
6,Kevin De Bruyne
7,Trent Alexander-Arnold
8,Joao Felix
9,Erling Haaland
10,Jadon Sancho
11,Lionel Messi
12,Serge Gnabry
13,Jan Oblak
14,Joshua Kimmich
15,Romelu Lukaku
16,Kai Havertz
17,Ansu Fati
18,Alphonso Davies
19,Marcus Rashford
20,Bernardo Silva
21,Bruno Fernandes
22,Paulo Dybala
23,Virgil van Dijk
24,Antoine Griezmann
25,Paul Pogba
26,Alisson
27,Andrew Robertson
28,Thibaut Courtois
29,Heung-min Son
30,Marc-Andre ter Stegen
31,Roberto Firmino
32,Lautaro Martinez
33,Federico Valverde
34,Frenkie de Jong
35,Matthijs de Ligt
36,Jose Gimenez
37,N'Golo Kante
38,Leroy Sane
39,Marquinhos
40,Timo Werner
41,Raphael Varane
42,Saul Ñiguez
43,Sergej Milinkovic-Savic
44,Kalidou Koulibaly
45,David Alaba
46,Casemiro
47,Rodri
48,Phil Foden
49,Richarlison
50,Gabriel Jesus
51,Arthur
52,Mikel Oyarzabal
53,Dayot Upamecano
54,Gianluigi Donnarumma
55,Christian Pulisic
56,Fabinho
57,Anthony Martial
58,Aymeric Laporte
59,Leon Goretzka
60,Stefan de Vrij
61,Marco Verratti
62,Philippe Coutinho
63,Koke
64,Eden Hazard
65,Robert Lewandowski
66,Cristiano Ronaldo
67,Ederson
68,Declan Rice
69,James Maddison
70,Mauro Icardi
71,Dele Alli
72,Eduardo Camavinga
73,Mason Greenwood
74,Renan Lodi
75,Victor Osimhen
76,Achraf Hakimi
77,Houssem Aouar
78,Vinicius Junior
79,Rodrigo Bentancur
80,Fabian Ruiz
81,Diego Carlos
82,Ben Chilwell
83,Ousmane Dembele
84,Lucas Hernandez
85,Ruben Dias
86,Nicolo Barella
87,Thomas Partey
88,Ruben Neves
89,Milan Skriniar
90,Lucas Ocampos
91,Clement Lenglet
92,Harry Maguire
93,Wilfried Zaha
94,Luis Alberto
95,Jorginho
96,Christian Eriksen
97,Pierre-Emerick Aubameyang
98,Miralem Pjanic
99,Toni Kroos
100,Federico Chiesa
101,Riyad Mahrez
102,Niklas Sule
103,Lorenzo Insigne
104,Thiago
105,Dejan Kulusevski
106,Rodrygo
107,Ferran Torres
108,Nicolo Zaniolo
109,Benjamin Pavard
110,Mason Mount
111,Davinson Sanchez
112,Theo Hernandez
113,Martin Odegaard
114,Alessandro Bastoni
115,Marcos Llorente
116,Wilfred Ndidi
117,Youri Tielemans
118,Jack Grealish
119,Memphis Depay
120,Ciro Immobile
121,Mateo Kovacic
122,Donny van de Beek
123,Alexandre Lacazette
124,Sergio Aguero
125,Ibrahima Konate
126,Aaron Wan-Bissaka
127,Tanguy Ndombele
128,Bukayo Saka
129,Jules Kounde
130,Eder Militao
131,Pau Torres
132,Nicolas Pepe
133,Diogo Jota
134,Denis Zakaria
135,Tammy Abraham
136,Caglar Soyuncu
137,Marcus Thuram
138,Dominic Calvert-Lewin
139,Naby Keita
140,Marco Asensio
141,Ferland Mendy
142,Angel Correa
143,Joe Gomez
144,Alex Telles
145,Kingsley Coman
146,Moussa Dembele
147,Hakim Ziyech
148,Raul Jimenez
149,Adama Traore
150,Nathan Ake
151,Marcelo Brozovic
152,Wissam Ben Yedder
153,Daniel Carvajal
154,Alvaro Morata
155,Kyle Walker
156,Duvan Zapata
157,Ilkay Gundogan
158,Georginio Wijnaldum
159,Lukas Klostermann
160,David Neres
161,Moussa Diaby
162,Jonathan Ikone
163,Andre Onana
164,Alessio Romagnoli
165,Joao Cancelo
166,Maxi Gomez
167,Callum Hudson-Odoi
168,Giovani Lo Celso
169,Mikel Merino
170,Franck Kessie
171,Presnel Kimpembe
172,Nelson Semedo
