¿­1,name,age,Marketvalue,2019/2020 league playing time(min),2019/2020 league mean rating
1,Kylian Mbappe,21,180,1516 ,8.14
2,Raheem Sterling,25,128,2661 ,7.35
3,Neymar,28,128,1322 ,8.58
4,Sadio Mane,28,120,2756 ,7.45
5,Mohamed Salah,28,120,2888 ,7.40
6,Harry Kane,27,120,2590 ,7.33
7,Kevin De Bruyne,29,120,2800 ,7.97
8,Trent Alexander-Arnold,22,110,3176 ,7.20
9,Joao Felix,21,100,1748 ,6.64
10,Erling Haaland,20,100,1437 ,7.45
11,Jadon Sancho,20,100,2292 ,7.64
12,Lionel Messi,33,100,2881 ,8.71
13,Serge Gnabry,25,90,2203 ,7.49
14,Jan Oblak,27,90,3396 ,6.60
15,Joshua Kimmich,25,85,2822 ,7.40
16,Romelu Lukaku,27,85,2984 ,7.30
17,Kai Havertz,21,81,2462 ,7.24
18,Ansu Fati,18,80,1027 ,6.73
19,Alphonso Davies,20,80,2234 ,7.52
20,Marcus Rashford,23,80,2655 ,7.35
21,Bernardo Silva,26,80,2031 ,7.03
22,Bruno Fernandes,26,80,2753 ,7.78
23,Paulo Dybala,27,80,2165 ,7.44
24,Virgil van Dijk,29,80,3420 ,7.32
25,Antoine Griezmann,29,80,2562 ,6.97
26,Paul Pogba,27,80,1205 ,7.18
27,Alisson,28,80,2545 ,6.62
28,Andrew Robertson,26,75,3114 ,7.11
29,Thibaut Courtois,28,75,3060 ,6.84
30,Heung-min Son,28,75,2487 ,7.24
31,Marc-Andre ter Stegen,28,75,3240 ,6.66
32,Roberto Firmino,29,72,3003 ,7.14
33,Lautaro Martinez,23,70,2467 ,6.99
34,Federico Valverde,22,70,1906 ,6.73
35,Frenkie de Jong,23,70,2121 ,6.85
36,Matthijs de Ligt,21,70,2448 ,6.79
37,Jose Gimenez,25,70,1753 ,6.82
38,N'Golo Kante,29,70,1733 ,6.90
39,Leroy Sane,24,70,11 ,6.23
40,Marquinhos,26,70,1474 ,7.19
41,Timo Werner,24,70,2809 ,7.60
42,Raphael Varane,27,70,2823 ,6.98
43,Saul Niguez,26,70,3076 ,7.22
44,Sergej Milinkovic-Savic,25,65,3038 ,7.27
45,Kalidou Koulibaly,29,65,2108 ,6.72
46,David Alaba,28,65,2498 ,6.99
47,Casemiro,28,65,3091 ,7.47
48,Rodri,24,64,2488 ,7.09
49,Phil Foden,20,60,893 ,6.86
50,Richarlison,23,60,3111 ,7.19
51,Gabriel Jesus,23,60,2026 ,7.26
52,Arthur,24,60,1185 ,6.84
53,Mikel Oyarzabal,23,60,3063 ,7.05
54,Dayot Upamecano,22,60,2360 ,7.06
55,Gianluigi Donnarumma,21,60,3202 ,6.81
56,Christian Pulisic,22,60,1727 ,7.18
57,Fabinho,27,60,2075 ,6.89
58,Anthony Martial,24,60,2640 ,7.31
59,Aymeric Laporte,26,60,1104 ,7.00
60,Leon Goretzka,25,60,1513 ,7.17
61,Stefan de Vrij,28,60,2830 ,6.92
62,Marco Verratti,28,60,1482 ,7.32
63,Philippe Coutinho,28,60,1414 ,7.22
64,Koke,28,60,2699 ,7.02
65,Eden Hazard,29,60,1088 ,7.30
66,Robert Lewandowski,32,60,2762 ,8.13
67,Cristiano Ronaldo,35,60,2919 ,7.82
68,Ederson,27,56,3072 ,6.62
69,Declan Rice,21,55,3420 ,7.01
70,James Maddison,24,55,2629 ,7.34
71,Mauro Icardi,27,55,1268 ,7.15
72,Dele Alli,24,52,1854 ,6.87
73,Eduardo Camavinga,18,50,2112 ,7.12
74,Mason Greenwood,19,50,1313 ,6.73
75,Renan Lodi,22,50,2399 ,6.76
76,Victor Osimhen,21,50,2289 ,7.14
77,Achraf Hakimi,22,50,2717 ,7.32
78,Houssem Aouar,22,50,1963 ,7.02
79,Vinicius Junior,20,50,1354 ,6.66
80,Rodrigo Bentancur,23,50,2199 ,7.10
81,Fabian Ruiz,24,50,2689 ,7.03
82,Diego Carlos,27,50,3135 ,6.90
83,Ben Chilwell,23,50,2376 ,6.96
84,Ousmane Dembele,23,50,358 ,6.70
85,Lucas Hernandez,24,50,916 ,6.51
86,Ruben Dias,23,50,2970 ,7.07
87,Nicolo Barella,23,50,2018 ,6.80
88,Thomas Partey,27,50,2553 ,7.08
89,Ruben Neves,23,50,3060 ,6.82
90,Milan Skriniar,25,50,2628 ,6.61
91,Lucas Ocampos,26,50,2756 ,7.21
92,Clement Lenglet,25,50,2428 ,6.90
93,Harry Maguire,27,50,3450 ,7.12
94,Wilfried Zaha,28,50,3280 ,6.98
95,Luis Alberto,28,50,3122 ,7.55
96,Jorginho,28,50,2384 ,6.85
97,Christian Eriksen,28,50,1793 ,6.56
98,Pierre-Emerick Aubameyang,31,50,3139 ,7.03
99,Miralem Pjanic,30,50,2286 ,7.08
100,Toni Kroos,30,50,2656 ,7.20
101,Federico Chiesa,23,48,2651 ,7.05
102,Riyad Mahrez,29,48,1942 ,7.48
103,Niklas Sule,25,48,642 ,6.86
104,Lorenzo Insigne,29,48,2823 ,7.11
105,Thiago,29,48,1772 ,7.47
106,Dejan Kulusevski,20,45,2938 ,7.12
107,Rodrygo,19,45,1023 ,6.72
108,Ferran Torres,20,45,2260 ,6.72
109,Nicolo Zaniolo,21,45,1535 ,6.87
110,Benjamin Pavard,24,45,2790 ,7.19
111,Mason Mount,21,45,2875 ,6.91
112,Davinson Sanchez,24,45,2432 ,6.66
113,Theo Hernandez,23,45,2819 ,7.19
114,Martin Odegaard,21,45,2533 ,7.10
115,Alessandro Bastoni,21,45,1922 ,6.76
116,Marcos Llorente,25,45,1368 ,6.59
117,Wilfred Ndidi,23,45,2674 ,7.23
118,Youri Tielemans,23,45,2834 ,6.88
119,Jack Grealish,25,45,3234 ,7.23
120,Memphis Depay,26,45,1022 ,7.59
121,Ciro Immobile,30,45,3176 ,7.57
122,Mateo Kovacic,26,45,2073 ,6.94
123,Donny van de Beek,23,44,1916 ,7.41
124,Alexandre Lacazette,29,42,1878 ,6.92
125,Sergio Aguero,32,42,1460 ,7.16
126,Ibrahima Konate,21,40.5,568 ,6.81
127,Aaron Wan-Bissaka,23,40,3102 ,7.19
128,Tanguy Ndombele,23,40,1011 ,6.71
129,Bukayo Saka,19,40,1755 ,6.65
130,Jules Kounde,22,40,2307 ,6.87
131,Eder Militao,22,40,1020 ,6.85
132,Pau Torres,23,40,2971 ,6.67
133,Nicolas Pepe,25,40,2016 ,7.06
134,Diogo Jota,23,40,2298 ,6.76
135,Denis Zakaria,24,40,1947 ,7.15
136,Tammy Abraham,23,40,2221 ,6.91
137,Caglar Soyuncu,24,40,3037 ,7.04
138,Marcus Thuram,23,40,2217 ,7.30
