¿­1,name,age,marketvalue,2019/2020 league playing time(min),2019/2020 league mean rating
1,Kylian Mbappe,21,¢æ180.00m,1516 ,8.14
2,Raheem Sterling,25,¢æ128.00m,2661 ,7.35
3,Neymar,28,¢æ128.00m,1322 ,8.58
4,Sadio Mane,28,¢æ120.00m,2756 ,7.45
5,Mohamed Salah,28,¢æ120.00m,2888 ,7.40
6,Harry Kane,27,¢æ120.00m,2590 ,7.33
7,Kevin De Bruyne,29,¢æ120.00m,2800 ,7.97
8,Trent Alexander-Arnold,22,¢æ110.00m,3176 ,7.20
9,Joao Felix,21,¢æ100.00m,1748 ,6.64
10,Erling Haaland,20,¢æ100.00m,1437 ,7.45
11,Jadon Sancho,20,¢æ100.00m,2292 ,7.64
12,Lionel Messi,33,¢æ100.00m,2881 ,8.71
13,Serge Gnabry,25,¢æ90.00m,2203 ,7.49
14,Jan Oblak,27,¢æ90.00m,3396 ,6.60
15,Joshua Kimmich,25,¢æ85.00m,2822 ,7.40
16,Romelu Lukaku,27,¢æ85.00m,2984 ,7.30
17,Kai Havertz,21,¢æ81.00m,2462 ,7.24
18,Ansu Fati,18,¢æ80.00m,1027 ,6.73
19,Alphonso Davies,20,¢æ80.00m,2234 ,7.52
20,Marcus Rashford,23,¢æ80.00m,2655 ,7.35
21,Bernardo Silva,26,¢æ80.00m,2031 ,7.03
22,Bruno Fernandes,26,¢æ80.00m,2753 ,7.78
23,Paulo Dybala,27,¢æ80.00m,2165 ,7.44
24,Virgil van Dijk,29,¢æ80.00m,3420 ,7.32
25,Antoine Griezmann,29,¢æ80.00m,2562 ,6.97
26,Paul Pogba,27,¢æ80.00m,1205 ,7.18
27,Alisson,28,¢æ80.00m,2545 ,6.62
28,Andrew Robertson,26,¢æ75.00m,3114 ,7.11
29,Thibaut Courtois,28,¢æ75.00m,3060 ,6.84
30,Heung-min Son,28,¢æ75.00m,2487 ,7.24
31,Marc-Andre ter Stegen,28,¢æ75.00m,3240 ,6.66
32,Roberto Firmino,29,¢æ72.00m,3003 ,7.14
33,Lautaro Martinez,23,¢æ70.00m,2467 ,6.99
34,Federico Valverde,22,¢æ70.00m,1906 ,6.73
35,Frenkie de Jong,23,¢æ70.00m,2121 ,6.85
36,Matthijs de Ligt,21,¢æ70.00m,2448 ,6.79
37,Jose Gimenez,25,¢æ70.00m,1753 ,6.82
38,N'Golo Kante,29,¢æ70.00m,1733 ,6.90
39,Leroy Sane,24,¢æ70.00m,11 ,6.23
40,Marquinhos,26,¢æ70.00m,1474 ,7.19
41,Timo Werner,24,¢æ70.00m,2809 ,7.60
42,Raphael Varane,27,¢æ70.00m,2823 ,6.98
43,Saul Niguez,26,¢æ70.00m,3076 ,7.22
44,Sergej Milinkovic-Savic,25,¢æ65.00m,3038 ,7.27
45,Kalidou Koulibaly,29,¢æ65.00m,2108 ,6.72
46,David Alaba,28,¢æ65.00m,2498 ,6.99
47,Casemiro,28,¢æ65.00m,3091 ,7.47
48,Rodri,24,¢æ64.00m,2488 ,7.09
49,Phil Foden,20,¢æ60.00m,893 ,6.86
50,Richarlison,23,¢æ60.00m,3111 ,7.19
51,Gabriel Jesus,23,¢æ60.00m,2026 ,7.26
52,Arthur,24,¢æ60.00m,1185 ,6.84
53,Mikel Oyarzabal,23,¢æ60.00m,3063 ,7.05
54,Dayot Upamecano,22,¢æ60.00m,2360 ,7.06
55,Gianluigi Donnarumma,21,¢æ60.00m,3202 ,6.81
56,Christian Pulisic,22,¢æ60.00m,1727 ,7.18
57,Fabinho,27,¢æ60.00m,2075 ,6.89
58,Anthony Martial,24,¢æ60.00m,2640 ,7.31
59,Aymeric Laporte,26,¢æ60.00m,1104 ,7.00
60,Leon Goretzka,25,¢æ60.00m,1513 ,7.17
61,Stefan de Vrij,28,¢æ60.00m,2830 ,6.92
62,Marco Verratti,28,¢æ60.00m,1482 ,7.32
63,Philippe Coutinho,28,¢æ60.00m,1414 ,7.22
64,Koke,28,¢æ60.00m,2699 ,7.02
65,Eden Hazard,29,¢æ60.00m,1088 ,7.30
66,Robert Lewandowski,32,¢æ60.00m,2762 ,8.13
67,Cristiano Ronaldo,35,¢æ60.00m,2919 ,7.82
68,Ederson,27,¢æ56.00m,3072 ,6.62
69,Declan Rice,21,¢æ55.00m,3420 ,7.01
70,James Maddison,24,¢æ55.00m,2629 ,7.34
71,Mauro Icardi,27,¢æ55.00m,1268 ,7.15
72,Dele Alli,24,¢æ52.00m,1854 ,6.87
73,Eduardo Camavinga,18,¢æ50.00m,2112 ,7.12
74,Mason Greenwood,19,¢æ50.00m,1313 ,6.73
75,Renan Lodi,22,¢æ50.00m,2399 ,6.76
76,Victor Osimhen,21,¢æ50.00m,2289 ,7.14
77,Achraf Hakimi,22,¢æ50.00m,2717 ,7.32
78,Houssem Aouar,22,¢æ50.00m,1963 ,7.02
79,Vinicius Junior,20,¢æ50.00m,1354 ,6.66
80,Rodrigo Bentancur,23,¢æ50.00m,2199 ,7.10
81,Fabian Ruiz,24,¢æ50.00m,2689 ,7.03
82,Diego Carlos,27,¢æ50.00m,3135 ,6.90
83,Ben Chilwell,23,¢æ50.00m,2376 ,6.96
84,Ousmane Dembele,23,¢æ50.00m,358 ,6.70
85,Lucas Hernandez,24,¢æ50.00m,916 ,6.51
86,Ruben Dias,23,¢æ50.00m,2970 ,7.07
87,Nicolo Barella,23,¢æ50.00m,2018 ,6.80
