"","name","age","marketvalue"
"1","Kylian Mbappe",21,"¢æ180.00m"
"2","Raheem Sterling",25,"¢æ128.00m"
"3","Neymar",28,"¢æ128.00m"
"4","Sadio Mane",28,"¢æ120.00m"
"5","Mohamed Salah",28,"¢æ120.00m"
"6","Harry Kane",27,"¢æ120.00m"
"7","Kevin De Bruyne",29,"¢æ120.00m"
"8","Trent Alexander-Arnold",22,"¢æ110.00m"
"9","Joao Felix",21,"¢æ100.00m"
"10","Erling Haaland",20,"¢æ100.00m"
"11","Jadon Sancho",20,"¢æ100.00m"
"12","Lionel Messi",33,"¢æ100.00m"
"13","Serge Gnabry",25,"¢æ90.00m"
"14","Jan Oblak",27,"¢æ90.00m"
"15","Joshua Kimmich",25,"¢æ85.00m"
"16","Romelu Lukaku",27,"¢æ85.00m"
"17","Kai Havertz",21,"¢æ81.00m"
"18","Ansu Fati",18,"¢æ80.00m"
"19","Alphonso Davies",20,"¢æ80.00m"
"20","Marcus Rashford",23,"¢æ80.00m"
"21","Bernardo Silva",26,"¢æ80.00m"
"22","Bruno Fernandes",26,"¢æ80.00m"
"23","Paulo Dybala",27,"¢æ80.00m"
"24","Virgil van Dijk",29,"¢æ80.00m"
"25","Antoine Griezmann",29,"¢æ80.00m"
"26","Paul Pogba",27,"¢æ80.00m"
"27","Alisson",28,"¢æ80.00m"
"28","Andrew Robertson",26,"¢æ75.00m"
"29","Thibaut Courtois",28,"¢æ75.00m"
"30","Heung-min Son",28,"¢æ75.00m"
"31","Marc-Andre ter Stegen",28,"¢æ75.00m"
"32","Roberto Firmino",29,"¢æ72.00m"
"33","Lautaro Martinez",23,"¢æ70.00m"
"34","Federico Valverde",22,"¢æ70.00m"
"35","Frenkie de Jong",23,"¢æ70.00m"
"36","Matthijs de Ligt",21,"¢æ70.00m"
"37","Jose Gimenez",25,"¢æ70.00m"
"38","N'Golo Kante",29,"¢æ70.00m"
"39","Leroy Sane",24,"¢æ70.00m"
"40","Marquinhos",26,"¢æ70.00m"
"41","Timo Werner",24,"¢æ70.00m"
"42","Raphael Varane",27,"¢æ70.00m"
"43","Saul Ã‘iguez",26,"¢æ70.00m"
"44","Sergej Milinkovic-Savic",25,"¢æ65.00m"
"45","Kalidou Koulibaly",29,"¢æ65.00m"
"46","David Alaba",28,"¢æ65.00m"
"47","Casemiro",28,"¢æ65.00m"
"48","Rodri",24,"¢æ64.00m"
"49","Phil Foden",20,"¢æ60.00m"
"50","Richarlison",23,"¢æ60.00m"
"51","Gabriel Jesus",23,"¢æ60.00m"
"52","Arthur",24,"¢æ60.00m"
"53","Mikel Oyarzabal",23,"¢æ60.00m"
"54","Dayot Upamecano",22,"¢æ60.00m"
"55","Gianluigi Donnarumma",21,"¢æ60.00m"
"56","Christian Pulisic",22,"¢æ60.00m"
"57","Fabinho",27,"¢æ60.00m"
"58","Anthony Martial",24,"¢æ60.00m"
"59","Aymeric Laporte",26,"¢æ60.00m"
"60","Leon Goretzka",25,"¢æ60.00m"
"61","Stefan de Vrij",28,"¢æ60.00m"
"62","Marco Verratti",28,"¢æ60.00m"
"63","Philippe Coutinho",28,"¢æ60.00m"
"64","Koke",28,"¢æ60.00m"
"65","Eden Hazard",29,"¢æ60.00m"
"66","Robert Lewandowski",32,"¢æ60.00m"
"67","Cristiano Ronaldo",35,"¢æ60.00m"
"68","Ederson",27,"¢æ56.00m"
"69","Declan Rice",21,"¢æ55.00m"
"70","James Maddison",24,"¢æ55.00m"
"71","Mauro Icardi",27,"¢æ55.00m"
"72","Dele Alli",24,"¢æ52.00m"
"73","Eduardo Camavinga",18,"¢æ50.00m"
"74","Mason Greenwood",19,"¢æ50.00m"
"75","Renan Lodi",22,"¢æ50.00m"
"76","Victor Osimhen",21,"¢æ50.00m"
"77","Achraf Hakimi",22,"¢æ50.00m"
"78","Houssem Aouar",22,"¢æ50.00m"
"79","Vinicius Junior",20,"¢æ50.00m"
"80","Rodrigo Bentancur",23,"¢æ50.00m"
"81","Fabian Ruiz",24,"¢æ50.00m"
"82","Diego Carlos",27,"¢æ50.00m"
"83","Ben Chilwell",23,"¢æ50.00m"
"84","Ousmane Dembele",23,"¢æ50.00m"
"85","Lucas Hernandez",24,"¢æ50.00m"
"86","Ruben Dias",23,"¢æ50.00m"
"87","Nicolo Barella",23,"¢æ50.00m"
"88","Thomas Partey",27,"¢æ50.00m"
"89","Ruben Neves",23,"¢æ50.00m"
"90","Milan Skriniar",25,"¢æ50.00m"
"91","Lucas Ocampos",26,"¢æ50.00m"
"92","Clement Lenglet",25,"¢æ50.00m"
"93","Harry Maguire",27,"¢æ50.00m"
"94","Wilfried Zaha",28,"¢æ50.00m"
"95","Luis Alberto",28,"¢æ50.00m"
"96","Jorginho",28,"¢æ50.00m"
"97","Christian Eriksen",28,"¢æ50.00m"
"98","Pierre-Emerick Aubameyang",31,"¢æ50.00m"
"99","Miralem Pjanic",30,"¢æ50.00m"
"100","Toni Kroos",30,"¢æ50.00m"
"101","Federico Chiesa",23,"¢æ48.00m"
"102","Riyad Mahrez",29,"¢æ48.00m"
"103","Niklas Sule",25,"¢æ48.00m"
"104","Lorenzo Insigne",29,"¢æ48.00m"
"105","Thiago",29,"¢æ48.00m"
"106","Dejan Kulusevski",20,"¢æ45.00m"
"107","Rodrygo",19,"¢æ45.00m"
"108","Ferran Torres",20,"¢æ45.00m"
"109","Nicolo Zaniolo",21,"¢æ45.00m"
"110","Benjamin Pavard",24,"¢æ45.00m"
"111","Mason Mount",21,"¢æ45.00m"
"112","Davinson Sanchez",24,"¢æ45.00m"
"113","Theo Hernandez",23,"¢æ45.00m"
"114","Martin Odegaard",21,"¢æ45.00m"
"115","Alessandro Bastoni",21,"¢æ45.00m"
"116","Marcos Llorente",25,"¢æ45.00m"
"117","Wilfred Ndidi",23,"¢æ45.00m"
"118","Youri Tielemans",23,"¢æ45.00m"
"119","Jack Grealish",25,"¢æ45.00m"
"120","Memphis Depay",26,"¢æ45.00m"
"121","Ciro Immobile",30,"¢æ45.00m"
"122","Mateo Kovacic",26,"¢æ45.00m"
"123","Donny van de Beek",23,"¢æ44.00m"
"124","Alexandre Lacazette",29,"¢æ42.00m"
"125","Sergio Aguero",32,"¢æ42.00m"
"126","Ibrahima Konate",21,"¢æ40.50m"
"127","Aaron Wan-Bissaka",23,"¢æ40.00m"
"128","Tanguy Ndombele",23,"¢æ40.00m"
"129","Bukayo Saka",19,"¢æ40.00m"
"130","Jules Kounde",22,"¢æ40.00m"
"131","Eder Militao",22,"¢æ40.00m"
"132","Pau Torres",23,"¢æ40.00m"
"133","Nicolas Pepe",25,"¢æ40.00m"
"134","Diogo Jota",23,"¢æ40.00m"
"135","Denis Zakaria",24,"¢æ40.00m"
"136","Tammy Abraham",23,"¢æ40.00m"
"137","Caglar Soyuncu",24,"¢æ40.00m"
"138","Marcus Thuram",23,"¢æ40.00m"
"139","Dominic Calvert-Lewin",23,"¢æ40.00m"
"140","Naby Keita",25,"¢æ40.00m"
"141","Marco Asensio",24,"¢æ40.00m"
"142","Ferland Mendy",25,"¢æ40.00m"
"143","Angel Correa",25,"¢æ40.00m"
"144","Joe Gomez",23,"¢æ40.00m"
"145","Alex Telles",27,"¢æ40.00m"
"146","Kingsley Coman",24,"¢æ40.00m"
"147","Moussa Dembele",24,"¢æ40.00m"
"148","Hakim Ziyech",27,"¢æ40.00m"
"149","Raul Jimenez",29,"¢æ40.00m"
"150","Adama Traore",24,"¢æ40.00m"
"151","Nathan Ake",25,"¢æ40.00m"
"152","Marcelo Brozovic",28,"¢æ40.00m"
"153","Wissam Ben Yedder",30,"¢æ40.00m"
"154","Daniel Carvajal",28,"¢æ40.00m"
"155","Alvaro Morata",28,"¢æ40.00m"
"156","Kyle Walker",30,"¢æ40.00m"
"157","Duvan Zapata",29,"¢æ40.00m"
"158","Ilkay Gundogan",30,"¢æ40.00m"
"159","Georginio Wijnaldum",30,"¢æ40.00m"
"160","Lukas Klostermann",24,"¢æ38.00m"
"161","David Neres",23,"¢æ36.00m"
"162","Moussa Diaby",21,"¢æ36.00m"
"163","Jonathan Ikone",22,"¢æ36.00m"
"164","Andre Onana",24,"¢æ36.00m"
"165","Alessio Romagnoli",25,"¢æ36.00m"
"166","Joao Cancelo",26,"¢æ36.00m"
"167","Maxi Gomez",24,"¢æ35.00m"
"168","Callum Hudson-Odoi",20,"¢æ35.00m"
"169","Giovani Lo Celso",24,"¢æ35.00m"
"170","Mikel Merino",24,"¢æ35.00m"
"171","Franck Kessie",23,"¢æ35.00m"
"172","Presnel Kimpembe",25,"¢æ35.00m"
"173","Nelson Semedo",27,"¢æ35.00m"
"174","Julian Brandt",24,"¢æ35.00m"
"175","Piotr Zielinski",26,"¢æ35.00m"
"176","Raphael Guerreiro",26,"¢æ35.00m"
"177","Andrea Belotti",26,"¢æ35.00m"
"178","Alassane Plea",27,"¢æ35.00m"
"179","Matthias Ginter",26,"¢æ35.00m"
"180","Marcel Sabitzer",26,"¢æ35.00m"
"181","James Rodriguez",29,"¢æ35.00m"
"182","Alex Sandro",29,"¢æ35.00m"
"183","David de Gea",30,"¢æ35.00m"
"184","Thomas Muller",31,"¢æ35.00m"
"185","Wojciech Szczesny",30,"¢æ35.00m"
"186","Ismael Bennacer",22,"¢æ33.00m"
"187","Christopher Nkunku",23,"¢æ33.00m"
"188","Hirving Lozano",25,"¢æ33.00m"
"189","Dani Olmo",22,"¢æ33.00m"
"190","Matheus Cunha",21,"¢æ32.00m"
"191","Matteo Guendouzi",21,"¢æ32.00m"
"192","Sandro Tonali",20,"¢æ32.00m"
"193","Boubacar Kamara",21,"¢æ32.00m"
"194","Dani Ceballos",24,"¢æ32.00m"
"195","Kieran Tierney",23,"¢æ32.00m"
"196","Lorenzo Pellegrini",24,"¢æ32.00m"
"197","Allan Saint-Maximin",23,"¢æ32.00m"
"198","Ricardo Pereira",27,"¢æ32.00m"
"199","Nabil Fekir",27,"¢æ32.00m"
"200","Hector Bellerin",25,"¢æ32.00m"
"201","Ante Rebic",27,"¢æ32.00m"
"202","Florian Thauvin",27,"¢æ32.00m"
"203","Filip Kostic",28,"¢æ32.00m"
"204","Konstantinos Manolas",29,"¢æ32.00m"
"205","Thorgan Hazard",27,"¢æ32.00m"
"206","Joel Matip",29,"¢æ32.00m"
"207","Bernd Leno",28,"¢æ32.00m"
