,0
0,21
1,25
2,28
3,28
4,28
5,27
6,29
7,20
8,22
9,33
10,25
11,27
12,25
13,27
14,21
15,18
16,21
17,20
18,20
19,23
20,26
21,26
22,27
23,29
24,29
25,27
26,28
27,26
28,28
29,28
30,28
31,29
32,23
33,22
34,23
35,21
36,25
37,29
38,24
39,26
40,24
41,27
42,25
43,25
44,29
45,28
46,28
47,24
48,20
49,23
50,23
51,24
52,23
53,22
54,21
55,22
56,27
57,24
58,26
59,25
60,28
61,28
62,28
63,28
64,29
65,32
66,35
67,27
68,21
69,23
70,27
71,24
72,18
73,19
74,22
75,21
76,22
77,22
78,20
79,23
80,24
81,27
82,23
83,23
84,23
85,23
86,27
87,23
88,25
89,26
90,25
91,27
92,28
93,28
94,28
95,28
96,31
97,30
98,30
99,23
100,29
101,25
102,29
103,29
104,20
105,19
106,20
107,21
108,24
109,21
110,24
111,23
112,21
113,21
114,24
115,23
116,23
117,25
118,26
119,30
120,26
121,23
122,29
123,32
124,21
125,22
126,23
127,19
128,22
129,22
130,25
131,23
132,23
133,23
134,24
135,23
136,25
137,24
138,25
139,25
140,23
141,27
142,24
143,24
144,27
145,29
146,24
147,24
148,25
149,28
150,30
151,28
152,28
153,30
154,29
155,30
156,30
157,24
158,23
159,22
160,24
161,25
162,26
163,24
164,20
165,24
166,24
167,23
168,25
169,25
170,27
171,26
172,26
173,26
174,26
175,29
176,29
177,30
178,31
179,30
180,22
181,23
182,25
183,21
184,20
185,21
186,20
187,24
188,23
189,23
190,24
191,23
192,27
193,27
194,25
195,27
196,27
197,28
198,26
199,29
200,27
201,29
202,28
203,32
204,21
205,22
206,20
207,20
208,20
209,19
210,23
211,23
212,24
213,23
214,24
215,22
216,23
217,26
218,26
219,28
220,26
221,23
222,25
223,24
224,26
225,28
226,27
227,26
228,29
229,27
230,26
231,27
232,27
233,28
234,31
235,23
236,20
237,23
238,22
239,23
240,22
241,21
242,23
243,23
244,23
245,24
246,24
247,25
248,25
249,27
250,25
251,27
252,26
253,28
254,27
255,28
256,30
257,28
258,30
259,17
260,22
261,22
262,26
263,27
264,26
265,28
266,29
267,26
268,26
269,26
270,24
271,26
272,19
273,18
274,17
275,20
276,18
277,21
278,19
279,20
280,21
281,20
282,20
283,20
284,22
285,21
286,22
287,21
288,24
289,23
290,23
291,23
292,22
293,24
294,23
295,24
296,25
297,28
298,23
299,25
300,26
301,26
302,25
303,27
304,29
305,26
306,31
307,27
308,27
309,27
310,27
311,29
312,27
313,28
314,28
315,31
316,31
317,32
318,21
319,23
320,24
321,25
322,27
323,27
324,24
325,25
326,24
327,24
328,26
329,26
330,27
331,29
332,31
333,27
334,28
335,29
336,27
337,23
338,23
339,24
340,23
341,23
342,24
343,28
344,29
345,18
346,19
347,19
348,21
349,23
350,26
351,28
352,21
353,21
354,20
355,20
356,23
357,22
358,23
359,24
360,21
361,22
362,24
363,25
364,25
365,24
366,24
367,25
368,26
369,27
370,27
371,26
372,29
373,30
374,26
375,29
376,25
377,26
378,27
379,19
380,19
381,22
382,25
383,21
384,18
385,22
386,19
387,23
388,28
389,24
390,23
391,23
392,22
393,20
394,23
395,25
396,23
397,21
398,23
399,24
400,22
401,21
402,22
403,24
404,25
405,26
406,24
407,22
408,25
409,25
410,29
411,25
412,23
413,25
414,24
415,26
416,23
417,23
418,23
419,25
420,23
421,27
422,27
423,25
424,24
425,26
426,24
427,25
428,23
429,25
430,25
431,25
432,26
433,25
434,28
435,26
436,28
437,27
438,26
439,29
440,30
441,28
442,28
443,30
444,29
445,29
446,31
447,31
448,31
449,31
450,31
451,31
452,26
453,30
454,23
455,23
456,25
457,29
458,30
459,32
460,32
461,20
462,19
463,21
464,20
465,18
466,22
467,22
468,19
469,23
470,21
471,22
472,21
473,24
474,21
475,24
476,22
477,25
478,22
479,26
480,22
481,23
482,22
483,23
484,26
485,25
486,25
487,25
488,25
489,26
490,26
491,26
492,28
493,27
494,29
495,29
496,31
497,28
498,33
499,31
