,0
0,Kylian Mbappe
1,Raheem Sterling
2,Neymar
3,Sadio Mane
4,Mohamed Salah
5,Harry Kane
6,Kevin De Bruyne
7,Jadon Sancho
8,Trent Alexander-Arnold
9,Lionel Messi
10,Serge Gnabry
11,Jan Oblak
12,Joshua Kimmich
13,Romelu Lukaku
14,Kai Havertz
15,Ansu Fati
16,Joao Felix
17,Alphonso Davies
18,Erling Haaland
19,Marcus Rashford
20,Bernardo Silva
21,Bruno Fernandes
22,Paulo Dybala
23,Virgil van Dijk
24,Antoine Griezmann
25,Paul Pogba
26,Alisson
27,Andrew Robertson
28,Thibaut Courtois
29,Heung-min Son
30,Marc-Andre ter Stegen
31,Roberto Firmino
32,Lautaro Martinez
33,Federico Valverde
34,Frenkie de Jong
35,Matthijs de Ligt
36,Jose Gimenez
37,N'Golo Kante
38,Leroy Sane
39,Marquinhos
40,Timo Werner
41,Raphael Varane
42,Saul Niguez
43,Sergej Milinkovic-Savic
44,Kalidou Koulibaly
45,David Alaba
46,Casemiro
47,Rodri
48,Phil Foden
49,Richarlison
50,Gabriel Jesus
51,Arthur
52,Mikel Oyarzabal
53,Dayot Upamecano
54,Gianluigi Donnarumma
55,Christian Pulisic
56,Fabinho
57,Anthony Martial
58,Aymeric Laporte
59,Leon Goretzka
60,Stefan de Vrij
61,Marco Verratti
62,Philippe Coutinho
63,Koke
64,Eden Hazard
65,Robert Lewandowski
66,Cristiano Ronaldo
67,Ederson
68,Declan Rice
69,James Maddison
70,Mauro Icardi
71,Dele Alli
72,Eduardo Camavinga
73,Mason Greenwood
74,Renan Lodi
75,Victor Osimhen
76,Achraf Hakimi
77,Houssem Aouar
78,Vinicius Junior
79,Rodrigo Bentancur
80,Fabian Ruiz
81,Diego Carlos
82,Ben Chilwell
83,Ousmane Dembele
84,Ruben Dias
85,Nicolo Barella
86,Thomas
87,Ruben Neves
88,Milan Skriniar
89,Lucas Ocampos
90,Clement Lenglet
91,Harry Maguire
92,Wilfried Zaha
93,Luis Alberto
94,Jorginho
95,Christian Eriksen
96,Pierre-Emerick Aubameyang
97,Miralem Pjanic
98,Toni Kroos
99,Federico Chiesa
100,Riyad Mahrez
101,Niklas Sule
102,Lorenzo Insigne
103,Thiago
104,Dejan Kulusevski
105,Rodrygo
106,Ferran Torres
107,Nicolo Zaniolo
108,Benjamin Pavard
109,Mason Mount
110,Davinson Sanchez
111,Theo Hernandez
112,Martin odegaard
113,Alessandro Bastoni
114,Lucas Hernandez
115,Wilfred Ndidi
116,Youri Tielemans
117,Jack Grealish
118,Memphis Depay
119,Ciro Immobile
120,Mateo Kovacic
121,Donny van de Beek
122,Alexandre Lacazette
123,Sergio Aguero
124,Ibrahima Konate
125,Aaron Wan-Bissaka
126,Tanguy Ndombele
127,Bukayo Saka
128,Jules Kounde
129,Eder Militao
130,Nicolas Pepe
131,Diogo Jota
132,Denis Zakaria
133,Tammy Abraham
134,Caglar Soyuncu
135,Dominic Calvert-Lewin
136,Naby Keita
137,Marco Asensio
138,Ferland Mendy
139,Marcos Llorente
140,Joe Gomez
141,Alex Telles
142,Kingsley Coman
143,Moussa Dembele
144,Hakim Ziyech
145,Raul Jimenez
146,Adama Traore
147,Julian Brandt
148,Nathan Ake
149,Marcelo Brozovic
150,Wissam Ben Yedder
151,Daniel Carvajal
152,Alvaro Morata
153,Kyle Walker
154,Duvan Zapata
155,Ilkay Gundogan
156,Georginio Wijnaldum
157,Lukas Klostermann
158,David Neres
159,Jonathan Ikone
160,Andre Onana
161,Alessio Romagnoli
162,Joao Cancelo
163,Maxi Gomez
164,Callum Hudson-Odoi
165,Giovani Lo Celso
166,Mikel Merino
167,Franck Kessie
168,Presnel Kimpembe
169,Angel Correa
170,Nelson Semedo
171,Piotr Zielinski
172,Raphael Guerreiro
